USER_UUID,USER_CREATED_AT,PROFILE_COMPLETE_AT,HOW_CAN_WE_HELP_YOU,PREVIOUS_EDUCATION_LEVEL,EMPLOYER
c35c885d-354b-4c0a-aed1-cb0666a05db8,2021-01-14 17:54:12,2021-01-14 17:55:08,I am already enrolled in a university or school,Associates Degree,Soccer Plus
2c0af478-3ec2-4d29-97a4-0f7aef507151,2021-01-13 15:13:37,2021-01-13 15:15:01,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Tree Stores
d8cc53aa-ec2f-47f7-9ab9-8901f0566b73,2021-01-20 12:13:12,2021-01-20 12:15:58,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Box Stores
9ecc4197-99db-4667-ad0a-5db36993ec06,2021-01-14 4:14:13,2021-01-14 4:15:36,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Electronics United
6670033f-320f-4dd9-a895-a03165089248,2021-01-27 21:47:16,2021-01-27 21:48:49,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
d83e05e9-5601-4309-8740-ecc33a010d37,2021-01-10 15:27:12,2021-01-10 15:29:35,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
66f97566-11d7-477a-8aca-2cf885ca0eed,2021-01-12 5:22:26,2021-01-12 5:24:20,I want to go back to school but I’m not sure what I want to study,Some High School,Box Stores
5538b439-8a59-4152-8f73-9565df4aec90,2021-01-21 7:54:17,2021-01-21 7:56:01,I am already enrolled in a university or school,Some College,Electronics United
e60dfa4f-e13f-4767-970e-7ef26ace0b86,2021-01-21 16:06:54,2021-01-27 2:56:33,I want to go back to school but I’m not sure what I want to study,Master's Degree,Soccer Plus
b58d6143-e3e7-49b8-89ba-e395cd0875b4,2021-01-27 3:13:26,2021-01-27 3:15:19,I am already enrolled in a university or school,Master's Degree,Tree Stores
6ed32165-7d96-4911-a160-73fe1734c2fc,2021-01-06 3:15:35,2021-01-06 3:16:58,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
fe7817cb-06fa-4f3d-a5d1-45dc8c6c0f64,2021-01-07 7:10:37,2021-01-07 7:11:47,I am already enrolled in a university or school,Some High School,Electronics United
9111e703-8bff-40e7-aa10-810120f33be4,2021-01-09 15:22:26,2021-01-09 15:23:54,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Soccer Plus
e8a49f4f-a072-4cd8-a82b-14ed9462d38d,2021-01-16 3:02:07,2021-01-16 3:05:20,I am already enrolled in a university or school,Some College,Tree Stores
997eb954-42dd-44ba-b9fc-fe5ca96c9b8f,2021-01-24 9:09:14,2021-01-24 9:11:04,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Box Stores
578957dd-60bc-4f91-a35a-06cce779f484,2021-01-06 19:47:05,2021-01-06 19:49:21,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
c34bde05-2af1-4982-85d7-1dbad5d5f888,2021-01-06 17:23:29,2021-01-06 17:29:37,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
7d8a04e2-ee1f-4f65-b0a4-361e3d7b6fd9,2021-01-14 15:37:44,2021-01-14 15:38:51,I am already enrolled in a university or school,Some College,Tree Stores
378a572a-090b-4069-b605-52c20af7d596,2021-01-17 3:35:55,2021-01-17 3:37:49,I'm honestly not sure about going back to school,Some College,Box Stores
1bb091a4-054c-47af-ad03-d301e488c8dd,2021-01-26 23:04:18,2021-01-26 23:06:20,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
01d2569c-dd0d-4a56-88a9-082acb0dd222,2021-01-02 16:24:42,2021-01-02 16:25:55,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
e601dde8-fc83-45a3-916a-a4ec06d5b0f7,2021-01-26 10:33:31,2021-01-26 10:35:53,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
7b228b0c-b51d-4a38-9d16-e620d87c635a,2020-02-06 2:48:25,2021-01-19 15:29:00,I want to go back to school but I’m not sure what I want to study,Some College,Box Stores
cf89279f-a4e4-49e1-9316-1e51e605c177,2021-01-01 23:26:54,2021-01-01 23:28:29,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
79ef0752-5ce7-420d-9053-2e7ca22b9f0d,2021-01-22 6:10:00,2021-01-22 6:11:26,I want to go back to school but I’m not sure what I want to study,Bachelors Degree,Soccer Plus
ae61388f-7987-4574-a4ff-781b97d0a4e4,2021-01-07 23:03:20,2021-01-07 23:05:11,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
7b351c8b-3e32-4f4d-a30d-b85a312e5738,2021-01-21 15:35:57,2021-01-21 15:39:20,I want to go back to school but I’m not sure what I want to study,Bachelors Degree,Box Stores
f9ec2eb6-82bc-4f86-afd7-930223c78010,2020-07-08 22:35:58,2021-01-21 1:23:05,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
38233742-c61d-4625-bfbe-44bff64186df,2021-01-17 18:23:32,2021-01-17 18:24:46,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
704c1d61-53aa-4b39-93f3-252794160dd7,2021-01-12 0:11:06,2021-01-12 0:12:49,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
c6856e67-3f7d-42d4-b4ff-f2742ed1f47a,2021-01-06 13:58:13,2021-01-06 14:18:48,I am already enrolled in a university or school,Bachelors Degree,Box Stores
aea31815-481c-424a-993f-bc0379c795d4,2021-01-22 4:11:54,2021-01-22 4:12:52,I am already enrolled in a university or school,Some College,Electronics United
53880548-df88-4c48-9cc4-fe2e0df2569a,2021-01-01 21:35:53,2021-01-01 21:38:15,I'm honestly not sure about going back to school,Some High School,Soccer Plus
3d7e51f6-520f-4d34-bb4b-0d667536dca6,2021-01-20 15:23:13,2021-01-21 18:59:16,I am already enrolled in a university or school,Associates Degree,Tree Stores
fe720cee-e0bb-4173-8f29-1dae2bdee678,2021-01-04 18:15:59,2021-01-04 18:17:48,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Box Stores
0e781351-86ee-4f24-90ba-2f807adb2cb6,2021-01-19 23:47:28,2021-01-19 23:49:27,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
f8fbe90a-8faf-4719-b95e-d9796713eb1a,2021-01-25 20:36:18,2021-01-25 20:37:59,I want to go back to school but I’m not sure what I want to study,Associates Degree,Soccer Plus
9712b21e-b841-483c-8ac9-7eb2db2a9f16,2021-01-25 14:24:21,2021-01-25 14:27:16,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
f740e7dd-b9a9-445f-b292-bf6d5159d019,2019-04-08 3:43:47,2021-01-19 4:00:30,I'm honestly not sure about going back to school,Bachelors Degree,Box Stores
9c0bab29-5ce8-48b6-950b-4d7229551a06,2021-01-07 18:42:16,2021-01-07 18:43:36,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Electronics United
f7a8b842-45e8-48be-975d-db822ada8a2b,2021-01-06 22:56:26,2021-01-06 22:58:21,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Associates Degree,Soccer Plus
fa306589-0a0f-4dad-86be-90707ab774d9,2021-01-26 18:21:35,2021-01-26 18:26:20,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
5df1dcf2-cdd6-4eed-9503-a7bc0642d986,2021-01-07 13:40:58,2021-01-07 13:43:08,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
5255c8e4-15c7-46b1-875c-d7b888e8bad9,2021-01-21 14:51:39,2021-01-21 14:53:01,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
9835fe3c-bc65-4bfa-a23e-6dad64e29dbf,2021-01-20 0:10:19,2021-01-20 0:12:20,I am already enrolled in a university or school,Bachelors Degree,Soccer Plus
373d2fe1-1f75-4a6f-bac3-1fea4daea70a,2021-01-05 19:56:04,2021-01-05 19:57:29,I'm honestly not sure about going back to school,Some High School,Tree Stores
ea7a957a-60ae-4056-91b3-5e27dac76b00,2021-01-04 14:26:44,2021-01-06 18:04:30,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Bachelors Degree,Box Stores
ea5d02ab-cf50-488d-b1cb-de24d4b35204,2018-07-09 15:15:13,2021-01-26 19:15:19,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
18a366cf-eb16-428a-b493-cf932741c0ec,2021-01-18 2:02:50,2021-01-18 2:04:12,I am already enrolled in a university or school,Some College,Soccer Plus
98ac6cc8-52f9-4195-b5e7-c7eac98c8e5c,2020-10-24 3:14:23,2021-01-09 19:02:41,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
921eb7e3-76ed-4aec-aea2-38ccdb8fd080,2021-01-08 13:11:23,2021-01-08 13:12:11,I am already enrolled in a university or school,Some College,Box Stores
25019238-ddc0-42a1-afc7-0de2d77b5e65,2020-12-08 13:40:41,2021-01-25 21:55:14,I primarily want to learn or improve a language,Some College,Electronics United
aa2ad125-b6de-41c4-954a-71990ed0277b,2019-10-29 6:59:23,2021-01-23 0:53:02,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
f98e8be5-f519-43ea-8e8e-1be9d3623574,2019-08-07 19:14:13,2021-01-07 4:20:04,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
568b1103-0972-45f2-a92a-2b6ba8b71944,2021-01-30 0:05:19,2021-01-30 0:06:09,I am already enrolled in a university or school,Some College,Box Stores
ff10a405-ee5f-4d04-a8ee-99eecce91991,2021-01-27 16:02:00,2021-01-27 16:03:41,I am already enrolled in a university or school,Some College,Electronics United
772596f3-ba5e-48ba-80a0-9d07b40e3aa3,2018-06-01 1:21:22,2021-01-01 17:15:47,I want to go to school - I know what type of program I want to attend,Some College,Soccer Plus
e666136e-830b-4fdd-aa7c-10a0072042f2,2021-01-10 15:30:52,2021-01-10 15:32:37,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
505b79df-692e-42e1-abf9-480f05850ecd,2021-01-06 14:19:47,2021-01-06 14:22:02,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Bachelors Degree,Box Stores
a730e178-bd3b-486d-a6c7-69b64b87b263,2021-01-08 23:46:33,2021-01-08 23:50:00,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Electronics United
6c3a4add-e1f6-4f14-8892-66d718d040fc,2021-01-06 1:10:00,2021-01-06 1:34:59,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
eef72117-7294-485d-89c2-41f8a5b81668,2021-01-05 18:58:59,2021-01-07 19:47:11,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
79916f96-8a99-4eed-a915-81623ce9a54c,2019-01-25 13:41:49,2021-01-04 3:22:02,I want to go back to school but I’m not sure what I want to study,Associates Degree,Box Stores
cdfba883-8f45-4927-a882-b8c65c2dda2d,2021-01-05 9:34:03,2021-01-05 9:35:07,I am already enrolled in a university or school,Bachelors Degree,Electronics United
179860a9-a2fe-4a68-a601-914b23b3582a,2021-01-29 5:06:15,2021-01-29 5:08:18,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Associates Degree,Soccer Plus
3ccaf028-c64f-40bb-91c8-db77d42ff13b,2019-03-02 17:39:51,2021-01-22 16:48:29,Other,Some College,Tree Stores
8245e6f4-61d1-4ddf-86b6-a9431f0d878e,2021-01-23 3:45:08,2021-01-23 3:46:48,I want to go back to school but I’m not sure what I want to study,Some College,Box Stores
1035dc08-c297-4d23-8b4c-5466d69e7d35,2021-01-11 20:49:26,2021-01-11 20:50:44,I am already enrolled in a university or school,Bachelors Degree,Electronics United
fbc2f0ca-99ec-4211-b596-b88fe9d772c1,2021-01-05 18:39:33,2021-01-05 18:41:05,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
88d1d591-5bd1-4838-95a9-078efd780dee,2019-01-07 21:46:30,2021-01-08 3:58:54,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Associates Degree,Tree Stores
2b441f3c-56a7-4b1d-bec8-8ef16d2c6b71,2021-01-20 2:27:26,2021-01-20 2:30:46,I am already enrolled in a university or school,Bachelors Degree,Box Stores
14ae145b-1399-44d3-8e38-fb9db73ea788,2019-06-16 13:57:42,2021-01-23 23:22:37,I'm honestly not sure about going back to school,Associates Degree,Electronics United
9efeb969-59cc-4219-8e78-7dd15e146c6e,2021-01-12 20:43:30,2021-01-12 20:45:03,I am already enrolled in a university or school,Some High School,Soccer Plus
9436e6f9-58a7-4202-aa15-b1c30dcbbb5c,2021-01-21 22:03:20,2021-01-21 22:05:18,I'm honestly not sure about going back to school,Bachelors Degree,Tree Stores
6335b86f-688a-433e-9431-cdf9a1085638,2021-01-22 12:48:31,2021-01-22 12:50:34,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
